,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
RP11-427P5.3,2.6367867729639194,-0.3994642772334725,0.3243469926894345,-1.2315954401832963,0.21810024511270498,0.34917417228580905,False
RPS27L,738.3611874764345,-0.11603665652319142,0.09424567749548197,-1.231214625506343,0.21824260272918727,0.3493842473626685,False
MACF1,26742.770441454253,-0.09097140768065844,0.07389059217895023,-1.2311636028080737,0.21826168130323542,0.3493969538371344,False
MIR23B,21.79847938558016,0.2528992976531744,0.20544701140580784,1.2309709249244651,0.21833373885586604,0.34949446432137,False
RNA5SP155,1.2056307602288439,0.5837651553770072,0.4742865218392899,1.2308280511812937,0.2183871817240196,0.34956216919483746,False
RMRP,80325.21788694609,-0.14663346749568426,0.11918929088912424,-1.2302570675757265,0.21860085575981747,0.3498863286187861,False
STK24-AS1,5.593797733325429,-0.3123876254266258,0.2539370956995993,-1.2301772002471505,0.21863075575784507,0.3499163264553446,False
NPM1P25,18.462948098562133,0.19401247105197714,0.15771624417728886,1.2301362618925142,0.21864608302249344,0.3499229989071393,False
GK-AS1,6.055324176709289,0.3666264068245965,0.29808410246880296,1.229942837568693,0.21871851126736264,0.3500210508953099,False
PRAP1,9.497867674807972,0.25503635055794227,0.20737141827936323,1.229852950199562,0.2187521756931552,0.35005706127148783,False
RP11-519C12.1,17.44315644279113,-0.28899525889345595,0.2350330460891568,-1.2295941515553064,0.2188491211933583,0.35017646005529446,False
PCCB,481.89457695641505,-0.1088760525288097,0.08854599223508457,-1.229598876025354,0.21884735113901344,0.35017646005529446,False
MAGT1,2167.455085756147,-0.10363797080591987,0.08432516470991673,-1.2290277897759259,0.2190613869339545,0.3504982190943272,False
XLOC_014106,4.387715612205396,-0.3817714929940539,0.3107257719032009,-1.2286444431554444,0.21920514461967466,0.3507103380068873,False
ZNF593,1.799834229012344,0.4842583491312636,0.39424926256124554,1.228305022018996,0.219332486468371,0.3508961726174939,False
ZNF663P,1.8334074335419792,-0.5497312462622473,0.4475928086495071,-1.2281949924998032,0.2193737780355064,0.3509443288881029,False
UGGT2,381.14440232519433,-0.10432392776676909,0.08494493971340378,-1.2281358738819308,0.21939596620807678,0.35096192105107565,False
RN7SL501P,2.5100528318428688,0.42226532366921393,0.34385024579095763,1.2280500852860474,0.21942816691951972,0.3509955273958755,False
