,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
NADSYN1,802.0476977614433,0.3152568774737894,0.0745204426162064,4.23047510731275,2.3319824985896164e-05,0.0028913167664619036,False
MDFI,133.81542940064668,0.7783721343975267,0.1843596705337435,4.222030404719456,2.4211144049543136e-05,0.0029040876785103613,False
RASSF6,319.3141048432906,-0.6171396864624847,0.1461090526090854,-4.223829225103808,2.4018607794857557e-05,0.0029040876785103613,False
QSOX2,370.1907002329463,0.36695011011901224,0.08689688483110539,4.22282238117309,2.412619482621874e-05,0.0029040876785103613,False
WDR54,52.25963663226014,0.41891409348433317,0.09928434210197806,4.219336952991574,2.4502184560579547e-05,0.0029175653795186006,False
LINC01215,11.959616834597643,1.9242030555214502,0.45649129765701113,4.215202054009839,2.4955465917017286e-05,0.0029175653795186006,True
SNRNP70,1490.1287141142056,0.5903907282319673,0.14014091316550364,4.212836315221718,2.5218381926660936e-05,0.0029175653795186006,False
RAB11FIP3,320.00817489754337,0.2708992464516194,0.06430966698105446,4.212418741515578,2.526506164492764e-05,0.0029175653795186006,False
LINC01010,13.566265599893336,1.0230757867976157,0.24280650225155243,4.213543613167692,2.5139501632594605e-05,0.0029175653795186006,True
DGCR8,550.9991100481859,0.25751844103887295,0.06112221167396326,4.213172821895289,2.518082423334238e-05,0.0029175653795186006,False
EPHA1,1019.0710951792498,0.3581640448444065,0.0850658900625114,4.210430815232834,2.548841714114134e-05,0.002925189206716665,False
PLEKHA2,839.4049912110411,-0.2613299487293658,0.062184444133776884,-4.2024971416833585,2.6398658289273648e-05,0.0030110665945654947,False
AKR1B10,426.13813254104645,1.2628053203858731,0.30074507784109383,4.198922653866701,2.6818789950956132e-05,0.0030225092088599437,True
ZNF460,1525.8569383542533,-0.2524756985380883,0.06012932957998729,-4.1988776575702795,2.682411894696056e-05,0.0030225092088599437,False
CEP164,430.4922417339834,0.35037463035669697,0.08350399521578536,4.195902596651605,2.7178703882574903e-05,0.0030425348461953806,False
TTC5,425.21143354344196,-0.21531844810445097,0.05133166489814203,-4.194651557312814,2.732913722647529e-05,0.0030425348461953806,False
MIR22HG,392.64792541126144,0.3935063348386021,0.09387881107375289,4.191641653082466,2.7694318729891875e-05,0.0030648379394413675,False
DDX5,7632.305008448435,0.2964187398823302,0.0708399442787672,4.184344622235615,2.8598997717325623e-05,0.0031462281985829466,False
RPPH1,63474.013751910345,-0.7002948162980871,0.1674626000513412,-4.181798300536291,2.892124850425557e-05,0.0031629638364183504,False
TMEM241,206.26814319187753,0.355412765863231,0.08505071722119249,4.178833259441006,2.9300840174342988e-05,0.0031743284379497903,False
6-Mar,3316.8987103794907,-0.19315153406526642,0.04622704667153635,-4.17832303754323,2.9366635721136184e-05,0.0031743284379497903,False
KLHL17,69.42707249009445,0.7031269647782534,0.16850003344263545,4.17285949689516,3.0080045144281058e-05,0.003216511044974406,False
TCIRG1,143.4620190123276,0.5685154414798297,0.13624685902764064,4.172686589160151,3.0102889512991968e-05,0.003216511044974406,False
S100A8,10590.84127485119,2.0047521624913696,0.48103201260117967,4.16760654171575,3.07814653480312e-05,0.0032702228785748346,True
APOBEC3B,25.44031305638193,0.9785499123653908,0.23500691541012328,4.163919647460886,3.128302463809878e-05,0.00328595476876572,False
ITGAX,65.09925131055834,0.9562740584216044,0.22959247769576424,4.165093159928238,3.1122545378551284e-05,0.00328595476876572,False
ZFYVE28,153.68458946685715,0.42713736390104245,0.10268513321791853,4.159680671539579,3.186928433070023e-05,0.0033287288442493184,False
CARD9,66.51889965217929,0.6005426008708011,0.14452503203895053,4.155284329630527,3.248832734436153e-05,0.003374430066962958,False
BRAF,1383.3580960498336,-0.22767069013411645,0.05483780979712727,-4.151710124390183,3.300000819365915e-05,0.003408534179647283,False
SGSM2,538.9596718161871,0.47087943384446085,0.11358809154388207,4.145500003075126,3.3907299612520875e-05,0.0034694239435053265,False
ATXN7L3B,1725.954586887498,-0.206377658759243,0.04978803381256255,-4.145125705027734,3.396273438672383e-05,0.0034694239435053265,False
DXO,65.25220068825668,0.45405973431183977,0.10964326338938128,4.141246076371479,3.454241316710613e-05,0.0035069712202153765,False
GOLPH3L,486.6416231696094,-0.21035585578720475,0.05080872529231164,-4.140152199784389,3.470754649954977e-05,0.0035069712202153765,False
PARP12,442.3276291716969,0.4680058037936154,0.11311659882673208,4.137375138996973,3.513015031362811e-05,0.003530485160167426,False
MBTPS2,303.16528488865833,-0.2527439787041383,0.06117926101693167,-4.131203523922757,3.608688983529615e-05,0.0035908720667502565,False
PVT1,60.42206525611139,0.6784491810351978,0.16423325240335346,4.13100983574837,3.6117312633514305e-05,0.0035908720667502565,False
HTR3A,54.71344087060159,1.6432896087809057,0.3979996963589609,4.128871513758147,3.645480357860404e-05,0.003605147383688332,True
GSDMD,162.32721098598853,0.5261212852020934,0.1274721578950184,4.127342738132577,3.669792323033594e-05,0.003609988299991565,False
ZC3H12D,61.980124026571524,0.6774535598440246,0.1642951473696738,4.123393604071056,3.7333094495153255e-05,0.0036531415413362596,False
BAIAP2,1558.172201409825,0.28859157709113636,0.07001005316864455,4.122144806774524,3.753611118863786e-05,0.00365377685455055,False
SERPINB6,463.09958579582053,0.3584185950154156,0.0871426246441129,4.113011244258287,3.905313561367234e-05,0.0037816452985906046,False
BAX,140.51290683122858,0.3348727893204698,0.08145139583076967,4.111320449513596,3.934027443758501e-05,0.0037897118256144066,False
